No of columns,8,No of rows,4834

Id,Header,Datatype,No Of Distinct Values,Min,Max,Empty Values,Unique Values
1,playerid,string,4+,7,9,Not Empty,Can not be enum type
2,yearid,int,4+,1933,2012,Not Empty,Can not be enum type
3,gamenum,int,3,0,2,Not Empty,"0,2,1"
4,gameid,string,4+,12,12,NULL-Empty,Can not be enum type
5,teamid,string,4+,3,3,Not Empty,Can not be enum type
6,lgid,string,2,2,2,Not Empty,"AL,NL"
7,gp,int,3,1,1,nil,"1,0,"
8,startingpos,int,4+,1,10,nil,Can not be enum type
